Closen,Close,Phousing,Cci,IniClaim,Money,NewOrderCo,NewOrder,WeekHour
1425.59,1425.59,1683,102.4949,268000,4599.1,33505,65451,41.4
1388.87,1425.59,1727,102.7235,284000,4639.1,35369,63975,41.5
1442.21,1388.87,1692,102.7759,283000,4659.5,33802,58497,41.5
1461.36,1442.21,1651,102.6957,271000,4664.5,33582,63642,41.4
1418.48,1461.36,1597,102.6774,274000,4713.4,34112,64414,41.6
1461.96,1418.48,1543,102.6523,280000,4721.5,33061,63753,41.2
1473,1461.96,1572,102.5543,294000,4744.4,32376,68292,41.3
1485.46,1473,1542,102.5211,300000,4752.4,31981,63581,41.5
1468.05,1485.46,1552,102.4866,318000,4779.8,29773,64759,41
1390.14,1468.05,1570,102.4372,288000,4814,33656,66733,41.1
1378.04,1390.14,1577,102.3292,295000,4845.6,32437,63580,41.1
1330.93,1378.04,1614,102.079,332000,4844.9,31028,62569,41.1
1335.63,1330.93,1543,101.5539,364000,4873,30631,62554,40.4
1305.75,1335.63,1699,101.0336,343000,4938.4,28327,60808,40.6
1185.85,1305.75,1656,100.6533,358000,4968.6,30131,60697,40.5
1189.84,1185.85,1659,100.4891,393000,5024.3,30159,58146,40.5
1270.37,1189.84,1666,100.4562,400000,5076.1,29354,54841,40.4
1238.71,1270.37,1665,100.5785,402000,5098.3,30935,56599,40.4
1204.45,1238.71,1626,100.6571,394000,5132.7,30441,55428,40.3
1178.5,1204.45,1598,100.5715,398000,5162.7,30927,53436,40.7
1044.64,1178.5,1615,100.2716,402000,5192.4,31176,54169,40.3
1076.59,1044.64,1565,99.83938,453000,5226.2,29162,50735,40.2
1129.68,1076.59,1566,99.68356,482000,5300.1,29859,49736,40.1
1144.93,1129.68,1651,99.83053,431000,5328.6,31309,51335,40.1
1140.21,1144.93,1680,100.1862,416000,5366.7,32059,51290,40.2
1100.67,1140.21,1665,100.5301,405000,5414.7,31903,47212,40.1
1153.79,1100.67,1787,100.7362,397000,5439.6,31300,50450,40.3
1111.93,1153.79,1691,100.9225,392000,5462.1,30010,47956,40.5
1079.25,1111.93,1669,100.975,416000,5453.9,33770,49577,40.6
1014.02,1079.25,1716,100.949,411000,5474.9,33438,51070,40.6
903.59,1014.02,1758,100.6996,396000,5487.8,32889,49024,40.7
912.55,903.59,1738,100.3657,379000,5526.8,34072,49442,40.4
867.81,912.55,1695,100.0905,399000,5586.3,34173,50987,40.5
854.63,867.81,1803,99.84975,401000,5616.5,33433,48220,40.5
909.93,854.63,1799,99.66801,412000,5639.8,34509,48966,40.3
899.18,909.93,1771,99.68298,389000,5699.8,33746,49390,40.4
895.84,899.18,1896,99.68046,394000,5728.1,32824,48798,40.5
837.03,895.84,1808,99.50272,407000,5749.4,34869,48823,40.3
846.63,837.03,1854,99.34506,421000,5779.8,34379,49025,40.3
890.03,846.63,1757,99.42788,411000,5804.9,34180,52031,40.4
935.96,890.03,1803,99.86021,444000,5843.7,33788,49042,40.1
988,935.96,1835,100.2864,419000,5923.2,34144,51027,40.2
992.54,988,1875,100.4419,408000,5941.2,34439,50109,40.3
989.53,992.54,1885,100.4442,398000,5998.9,35598,49337,40.1
1019.44,989.53,1966,100.3552,391000,6051.9,34086,50558,40.2
1038.73,1019.44,1961,100.3199,387000,6048.9,36483,51805,40.5
1049.9,1038.73,2012,100.4676,379000,6022.3,36295,51107,40.6
1080.64,1049.9,1918,100.7587,354000,6020.7,36069,51909,40.9
1132.52,1080.64,1987,101.0608,349000,6030.1,35179,53274,40.7
1143.36,1132.52,1952,101.3391,353000,6029.5,34449,50254,40.9
1123.98,1143.36,1966,101.226,359000,6061.6,35799,51377,41
1133.36,1123.98,2066,101.0587,346000,6091.6,37311,55161,40.9
1102.78,1133.36,2070,100.8882,339000,6139.4,34729,51981,40.7
1132.76,1102.78,2150,100.8101,342000,6203.8,34290,52244,41.1
1105.85,1132.76,2020,100.9475,354000,6228.9,34564,53259,40.8
1088.94,1105.85,2112,101.0586,348000,6234.1,30555,53798,40.8
1117.66,1088.94,2056,101.034,343000,6264.2,34401,51992,40.8
1117.21,1117.66,2041,100.9155,351000,6287.5,34554,56176,40.8
1168.94,1117.21,2097,100.8266,338000,6319.1,34071,53975,40.6
1199.21,1168.94,2079,100.8906,313000,6352.4,35494,54782,40.5
1181.41,1199.21,2082,101.0258,320000,6372,35777,56753,40.6
1199.63,1181.41,2139,101.0112,329000,6365.7,34393,57907,40.7
1194.9,1199.63,2114,100.8561,318000,6395.4,35015,57799,40.6
1164.43,1194.9,2062,100.6274,329000,6397.6,33071,56940,40.4
1178.28,1164.43,2150,100.4396,317000,6415.7,34976,57918,40.4
1202.25,1178.28,2085,100.5073,320000,6437.3,35055,57253,40.4
1222.24,1202.25,2178,100.7566,321000,6449.7,34663,58558,40.4
1224.27,1222.24,2203,100.6634,318000,6481,33708,57853,40.5
1225.92,1224.27,2219,100.0741,315000,6523.6,35707,60002,40.5
1191.96,1225.92,2263,99.35782,359000,6552.2,37237,58816,40.7
1237.37,1191.96,2170,99.12536,324000,6582.3,36346,59378,41
1262.07,1237.37,2218,99.5106,324000,6607.7,35242,60227,40.9
1278.73,1262.07,2120,100.0854,320000,6630.7,35662,61246,40.8
1276.65,1278.73,2212,100.3448,282000,6660.8,36340,63007,41
1293.74,1276.65,2141,100.2963,293000,6693.2,36060,62724,41.1
1302.17,1293.74,2118,100.1654,295000,6732.5,36247,65466,41.1
1290.01,1302.17,1998,99.91473,321000,6735.9,34925,62798,41.3
1253.17,1290.01,1905,99.63377,330000,6753.9,36864,64030,41.2
1260.24,1253.17,1867,99.61308,309000,6786,36468,63634,41.2
1287.15,1260.24,1763,99.6491,311000,6847.8,31805,63523,41.4
1317.74,1287.15,1722,99.74701,314000,6861,33630,64311,41.2
1363.38,1317.74,1655,100.0611,309000,6899.6,33135,67538,41.1
1388.64,1363.38,1570,100.4795,328000,6950,33833,66527,41.1
1416.42,1388.64,1535,100.7096,349000,6971.6,33789,66249,41
1424.16,1416.42,1638,100.8246,341000,7010.2,36469,66041,41.1
1444.8,1424.16,1626,100.8565,308000,7061,34068,64103,41
1406.95,1444.8,1598,100.6342,322000,7079.4,34528,64297,40.9
1463.64,1406.95,1596,100.3635,303000,7090.8,34885,66879,41.3
1511.14,1463.64,1470,100.1901,301000,7181.2,35724,65697,41.3
1514.19,1511.14,1493,100.13,310000,7201.1,36126,64458,41.2
1520.71,1514.19,1407,100.0895,313000,7222.1,35703,64975,41.4
1454.62,1520.71,1361,100.0665,305000,7258.1,35918,65121,41.3
1497.12,1454.62,1321,99.8382,329000,7300.4,35587,66025,41.3
1539.66,1497.12,1261,99.58408,317000,7371.9,34710,65561,41.3
1463.39,1539.66,1192,99.29073,328000,7379.6,35231,65356,41.2
1479.22,1463.39,1224,99.00603,352000,7385.9,34613,65780,41.3
1378.76,1479.22,1149,98.83854,360000,7417.3,34156,67645,41.1
1354.87,1378.76,1094,98.67754,366000,7442.9,34093,68517,41.1
1316.94,1354.87,1014,98.29005,354000,7529.7,34040,66927,41.2
1370.47,1316.94,967,97.82291,368000,7587.8,30851,65880,41.3
1403.22,1370.47,1008,97.29633,370000,7662.1,31589,69029,41.1
1341.25,1403.22,995,96.91827,369000,7654.4,30341,68248,41
1257.33,1341.25,1180,96.79938,381000,7689.1,30688,67919,41
1281.47,1257.33,921,97.00183,434000,7716.7,29076,67175,41
1216.95,1281.47,858,97.25832,421000,7751.7,28534,66720,40.9
968.8,1216.95,797,97.33413,483000,7726.8,28974,63752,40.5
883.04,968.8,736,96.98233,480000,7880,26973,59805,40.5
877.56,883.04,626,96.72655,532000,7930.7,26134,60765,40.1
865.58,877.56,554,96.71911,533000,8046.3,24485,55750,39.8
805.23,865.58,545,96.72629,586000,8224.2,22530,49703,39.7
757.13,805.23,558,96.70034,655000,8255.9,22034,50503,39.6
848.15,757.13,513,96.90161,661000,8330.2,22024,49044,39.3
902.41,848.15,521,97.34827,620000,8323,21711,46355,39.5
926.12,902.41,556,97.7326,606000,8379.3,20807,48542,39.3
935.82,926.12,601,97.89172,608000,8417.2,19384,50239,39.6
1009.73,935.82,595,97.84665,587000,8395.5,21434,50959,39.9
1044.55,1009.73,616,97.8902,560000,8407.1,22450,50096,40
1067.66,1044.55,609,98.06745,554000,8392.6,22859,53240,40
1088.07,1067.66,583,98.09699,530000,8405.1,23227,52465,40.2
1110.38,1088.07,623,98.11098,482000,8441.9,24468,53190,40.5
1123.58,1110.38,664,98.28453,468000,8480.4,25092,54242,40.6
1089.16,1123.58,636,98.4454,471000,8415.7,26518,52412,40.8
1152.05,1089.16,650,98.50024,500000,8448.3,24069,53156,40.5
1197.32,1152.05,687,98.49716,472000,8469.6,24819,55947,41
1125.06,1197.32,637,98.47684,449000,8494.2,25392,54593,41.1
1083.36,1125.06,575,98.47557,463000,8549.4,26043,56417,41.4
1079.8,1083.36,587,98.38098,452000,8578.3,26468,59358,41
1087.28,1079.8,579,98.09791,465000,8551,27742,56339,41.1
1122.08,1087.28,580,97.92526,464000,8622.3,28187,58887,41.2
1171.58,1122.08,563,97.87471,459000,8641.1,28705,59665,41.4
1198.89,1171.58,558,97.97266,432000,8680.7,28605,58074,41.2
1241.53,1198.89,560,98.22855,407000,8718.3,27703,60063,41.3
1282.62,1241.53,632,98.478,404000,8748.5,28858,61576,41.3
1321.12,1282.62,576,98.58567,446000,8766.5,28989,60456,41.1
1304.49,1321.12,542,98.53689,394000,8840.4,29261,59015,41.4
1331.51,1304.49,583,98.29465,407000,8885,30756,62226,41.4
1338.31,1331.51,581,98.23657,422000,8931.2,27870,61969,41.4
1287.29,1338.31,618,98.22096,423000,9005.5,27659,63647,41.5
1325.19,1287.29,636,97.91544,416000,9032.1,28072,62774,41.3
1185.31,1325.19,621,97.34176,411000,9207.9,29957,65032,41.4
1173.88,1185.31,647,96.8521,415000,9453.7,27913,64803,41.3
1207.22,1173.88,610,96.7853,406000,9501.9,27366,66174,41.3
1226.42,1207.22,671,97.01566,403000,9527.7,29718,67470,41.5
1243.32,1226.42,706,97.45491,385000,9573.1,28931,65014,41.5
1300.58,1243.32,697,97.99825,386000,9604.1,28948,68897,41.6
1352.49,1300.58,715,98.46145,372000,9696.8,30016,67608,41.8
1389.24,1352.49,733,98.71968,365000,9737.6,30100,69020,41.7
1386.43,1389.24,797,98.84412,363000,9788,30157,69997,41.6
1341.27,1386.43,747,98.87901,372000,9858.4,32210,67937,41.7
1323.48,1341.27,807,98.82298,381000,9889.2,32047,68375,41.6
1359.78,1323.48,790,98.61785,380000,9907.8,31844,66709,41.7
1403.45,1359.78,840,98.54557,372000,10010,31658,65146,41.7
1443.42,1403.45,832,98.71601,377000,10053.8,30938,63875,41.5
1437.82,1443.42,921,99.03336,376000,10132.8,31337,64163,41.5
1394.51,1437.82,895,99.26094,364000,10211,30353,65993,41.5
1422.29,1394.51,930,99.17426,388000,10306.2,31053,67052,41.5
1480.4,1422.29,938,98.83919,362000,10344,31446,66296,41.7
1512.31,1480.4,928,98.71036,364000,10481.7,32106,69370,41.7
1550.83,1512.31,971,98.8137,338000,10446.5,33304,66031,41.9
1570.7,1550.83,932,98.98109,360000,10489.8,32698,66516,41.9
1639.84,1570.7,1015,99.19395,330000,10557.5,33286,67098,41.8
1618.77,1639.84,1016,99.53348,354000,10580.9,33018,68745,41.7
1668.68,1618.77,951,99.70901,347000,10629.4,33476,68375,41.8
1670.09,1668.68,986,99.67118,333000,10665.7,32533,66082,41.7
1687.17,1670.09,947,99.38931,335000,10735.8,33630,66120,41.9
1720.03,1687.17,1015,99.00681,320000,10789,33862,66683,41.9
1783.54,1720.03,1031,98.77036,346000,10853.4,34834,64261,41.9
1807.78,1783.54,1042,98.87121,316000,10920.3,36520,68288,41.9
1822.36,1807.78,1013,99.17606,335000,10969.6,33950,67166,41.9
1817.04,1822.36,1001,99.34959,341000,11017.8,32900,67727,41.6
1863.52,1817.04,1032,99.41995,338000,11087,35228,66722,41.6
1864.26,1863.52,1078,99.45233,317000,11157.9,35695,68452,42
1889.77,1864.26,1080,99.52564,343000,11205.9,34989,66311,42
1947.09,1889.77,1007,99.51197,306000,11273,36573,65488,42.2
1973.1,1947.09,1015,99.48545,316000,11335.3,35836,69685,42.1
1961.53,1973.1,1053,99.47723,302000,11369.7,38355,67719,42
1993.23,1961.53,1045,99.57253,298000,11439.9,36718,69242,42
1937.27,1993.23,1062,99.7777,292000,11465.3,36757,70343,42.2
2044.57,1937.27,1123,100.0662,288000,11498,37472,64998,42.1
2054.27,2044.57,1073,100.4201,304000,11522.1,37150,64626,42.2
2028.18,2054.27,1070,100.8125,288000,11627.8,38625,65982,42.1
2082.2,2028.18,1069,101.0769,261000,11660.7,35641,66334,42
2079.99,2082.2,1127,101.0792,302000,11802.1,36011,64584,41.9
2094.86,2079.99,1079,100.9826,289000,11844,39272,65210,41.8
2111.94,2094.86,1178,100.9279,269000,11895.3,38220,64385,41.8
2099.29,2111.94,1255,100.8475,282000,11903.6,38894,63791,41.8
2094.14,2099.29,1363,100.8616,275000,11948.5,39260,64038,41.8
2039.87,2094.14,1134,100.7468,267000,12035.5,39864,65233,41.8
1944.41,2039.87,1159,100.5572,271000,12033.8,39224,64456,41.8
2024.81,1944.41,1125,100.3864,276000,12119.9,39800,64756,41.7
2080.62,2024.81,1166,100.4156,262000,12127.5,38289,64640,41.7
2054.08,2080.62,1267,100.5322,260000,12230.1,39172,63843,41.8
1918.6,2054.08,1218,100.6293,279000,12277,38503,60997,41.7
1904.42,1918.6,1193,100.6424,266000,12328.6,39014,62895,41.9
2021.95,1904.42,1195,100.6051,270000,12473.1,39080,61187,41.8
2075.54,2021.95,1115,100.5652,271000,12545,37629,61262,41.7
2065.55,2075.54,1163,100.5873,261000,12630,38320,61086,41.8
2083.89,2065.55,1178,100.7097,268000,12725.6,36864,59866,41.9
2148.9,2083.89,1193,100.6877,262000,12766.6,37289,60054,41.8
2170.95,2148.9,1175,100.5409,263000,12829.2,37609,61655,42
2157.69,2170.95,1200,100.4349,260000,12921.6,37929,62503,41.8
2143.02,2157.69,1270,100.4158,253000,12989.5,37669,61186,41.8
2164.99,2143.02,1285,100.4926,255000,13031.2,37852,61186,42
2246.63,2164.99,1255,100.8216,248000,13093.6,37300,62128,41.8
2275.12,2246.63,1266,101.1588,258000,13170.7,38123,61918,41.9
2329.91,2275.12,1300,101.3068,252000,13197.7,37946,62741,41.9
2366.82,2329.91,1219,101.2958,247000,13285.8,37372,62826,41.9
2358.84,2366.82,1260,101.2702,261000,13340.6,37029,62850,41.8
2388.33,2358.84,1228,101.2412,257000,13373.4,37050,63019,41.9
2430.06,2388.33,1168,101.1829,235000,13467.8,37810,63139,41.9
2431.39,2430.06,1254,101.073,242000,13511.2,37810,63139,41.9
